"source","target"
"delivered",""
"total",""
"Completed",""
"Not completed",""
"Can",""
"Can’t",""
"Done:",""
"Not done:",""
"Bad Request",""
"Unauthorized",""
"You are not authorized to see this page.",""
"You do not have permission to view this page.",""
"Page could not be found",""
"Check you’ve entered the correct web address.",""
"Page not found",""
"File too big",""
"The file you uploaded was too big",""
"Files must be smaller than 5 MB.",""
"Go back and try again.",""
"Server error",""
"Sorry, we’re experiencing technical difficulties",""
"Try again later.",""
"Try sending yourself this example",""
"Every message is sent from a template",""
"The template pulls information from your data",""
"Notification delivers the message","<i>Notify</i> delivers the message"
"Now go to your dashboard",""
"Message too long",""
"Text messages can’t be longer than",""
"characters.",""
"Your message is",""
"You can’t send to",""
"In",""
"you can only
  send to yourself and members of your team",""
"These messages have already been sent today",""
"If you need to resend them, rename the file and upload it again.",""
"Too many recipients",""
"Daily limit reached",""
"You can only send",""
"messages per day",""
"in",""
"You can still send",""
"messages today, but",""
"contains",""
"You can’t send",""
"can only preview how your letters will look",""
"No messages to show",""
"Recipient",""
"Status",""
"Cancel sending",""
"Report is",""
"complete…",""
"Download this report",""
"Only showing the first 50 rows",""
"Sent by",""
"on",""
"Uploaded by",""
"test",""
"To put a heading in your template, use a hash:",""
"# This is a heading",""
"To make bullet points, use asterisks:",""
"* point 1",""
"* point 2",""
"* point 3",""
"To insert a page break, use three asterisks:",""
"Content on page 1",""
"Content on page 2",""
"Format",""
"To put a title in your template, use a hash:",""
"# This is a title",""
"To emphasize text, use a caret. There will be a grey bar beside the text you want to emphasize:",""
"You must tell us if your circumstances change",""
"To add a horizontal line, use three dashes:",""
"First paragraph",""
"Second paragraph",""
"Links and URLs",""
"Always use full URLs, starting with https://",""
"Apply now at https://www.canada.ca/example",""
"Optional content",""
"You can enter optional content in your template by uploading a spreadsheet with information about your users.",""
"For example, your spreadsheet may include the age of each user. You want users who are under 18 to receive optional content. Use double brackets and ‘??’ to include the optional content.",""
"((under18??Please get your application signed by a parent or guardian.))",""
"For each recipient on your spreadsheet, you must indicate:",""
"‘yes’ to show optional content",""
"‘no’ to hide optional content",""
"Add personal information",""
"Use double brackets to add personal information about the recipient:",""
"Hello ((first name)), your reference is ((ref number))",""
"Send a document by email",""
"Use double brackets to add a placeholder field to your template. This will contain a secure link to download the document.",""
"Download your document at: ((link_to_document))",""
"Next, use the API to upload your document.",""
"Add an inbound SMS",""
"Add an inbound SMS number",""
"Number, like 12345678901",""
"Continue",""
"Notification displays your service name:","<i>Notify</i> displays your service name:"
"at the start of every text message",""
"as the ‘from’ address on emails you send",""
"Your service name must include both English and French. It can’t be longer than 255 characters.",""
"For example:",""
"Canadian Digital Service (CDS) | Service numérique canadien (SNC)",""
"You can change this later",""
"Add service",""
"Inbound SMS number added successfully",""
"Back to inbound SMS numbers",""
"You have added:",""
"Callback documentation",""
"A callback lets you receive messages from Notification to a URL you choose.","A callback lets you receive messages from <i>Notify</i> to a URL you choose."
"You’ll need to provide a bearer token, for security. We’ll add this to the authorisation header of the callback request.",""
"The callback message is in JSON.",""
"Email and text message delivery receipts",""
"When you send an email or text message through Notification, we can send a receipt to your callback URL to tell you if we were able to deliver it or not.","When you send an email or text message through <i>Notify</i>, we can send a receipt to your callback URL to tell you if we were able to deliver it or not."
"Key",""
"Description",""
"Notification’s id for the status receipts","<i>Notify</i>’s id for the status receipts"
"The reference sent by the service",""
"The email address of the recipient",""
"The status of the notification",""
"The time the service sent the request",""
"The last time the status was updated",""
"The time the notification was sent",""
"The notification type",""
"Text messages you receive",""
"If your service receives text messages in Notification, we can forward them to your callback URL as soon as they arrive.","If your service receives text messages in <i>Notify</i>, we can forward them to your callback URL as soon as they arrive."
"Callback message format",""
"Notification’s id for the received message","<i>Notify</i>’s id for the received message"
"The phone number the message was sent from",""
"The number the message was sent to (your number)",""
"The received message",""
"The UTC datetime that the message was received by Notification","The UTC datetime that the message was received by <i>Notify</i>"
"Invitation has been cancelled",""
"The invitation you were sent has been cancelled",""
"decided to cancel this invitation.",""
"If you need access to",""
", you’ll have to ask them to invite you again.",""
"Check your email​",""
"An email has been sent to",""
"Click the link in the email to confirm the change to your email address.",""
"live service",""
"Add a new service",""
"Choose service",""
"All organisations",""
"organisations",""
"live services",""
"Live services",""
"Trial mode services",""
"Cookies",""
"Notification puts small files (known as ‘cookies’) onto your computer.","<i>Notify</i> puts small files (known as ‘cookies’) onto your computer."
"These cookies are used to remember you once you’ve logged in.",""
"Find out",""
"how to manage cookies",""
"Session cookies",""
"We store session cookies on your computer to help keep your information
        secure while you use the service.",""
"Name",""
"Purpose",""
"Expires",""
"notify_admin_session",""
"Used to keep you logged in",""
"20 hours",""
"Introductory message cookie",""
"When you first use the service, you may see a pop-up ‘welcome’ message.
        Once you’ve seen the message, we store a cookie on your computer so it
        knows not to show it again.",""
"seen_cookie_message",""
"Saves a message to let us know that you have seen our cookie
                    message",""
"1 month",""
"Notification API to send messages automatically.","Integrate the <i>Notify</i> API to send messages automatically."
"Set up the client",""
"The API is available using clients developed by <a href=https://www.notifications.service.gov.uk/ >GOV.UK</a>.",""
"À noter : ",""
"Avant d'intégrer l'API avec les clients de Notification ci-dessous, vous devez modifier votre point de terminaison vers <a href=https://api.notification.alpha.canada.ca>https://api.notification.alpha.canada.ca</a>.",""
"Comment changer votre point de terminaison",""
"Note: ",""
"Before integrating the API, using the Notify clients below, you need to change your endpoint to <a href=https://api.notification.alpha.canada.ca>https://api.notification.alpha.canada.ca</a>.",""
"Changing your endpoint","How to change your endpoint"
"Choose a client to integrate the API with your system.","Choose a client to integrate the API with your system:"
"Direct connection to API",""
"email template",""
"Formatting Guide","How to format your notification"
"Your recipients won’t see this:","Your recipients will not see this template name."
"Save",""
"loading...",""
"This will clear existing content",""
"Are you sure?",""
"Okay",""
"letter template",""
"text message template",""
"Your recipients won’t see this","Your recipients will not see this template name."
"Remove this team member",""
"Invalid email link",""
"The link has expired",""
"Sign in again","Log in again"
"to get a new link.",""
"Resend email link",""
"Sometimes email messages take a few minutes to arrive. If you don’t receive the email, you can resend it.",""
"Has your email address changed since you joined Notification? Please ask your account manager to reset it.","Has your email address changed since you joined <i>Notify</i>? Please ask your account manager to reset it."
"Features","Product features"
"If you work for the federal government, you can use Notification to update your users.","If you work for the federal government, you can use <i>Notify</i> to update your users."
"Notification makes it easy to create, customize and send:","<i>Notify</i> makes it easy to create, customize and send:"
"You do not need technical knowledge to use Notification.","You do not need technical knowledge to use <i>Notify</i>."
"Create an account",""
"for free and try it yourself.",""
"Reusable message templates",""
"To send an email or text with Notification, you need to create a reusable message template first.","To send an email or text with <i>Notify</i>, you need to create a reusable message template first."
"Templates let you send the same thing to lots of people, as often as you need, without writing a new message each time.",""
"Personalized content",""
"Notification makes it easy to send personalized messages from a single template.","<i>Notify</i> makes it easy to send personalized messages from a single template."
"If you want to include personalized content in your message, you can add a placeholder.  Each time you send a message, you can fill the placeholder with details such as a name or reference number. You can do this manually or upload a list of personal details and let Notification do it for you.","If you want to include personalized content in your message, you can add a placeholder.  Each time you send a message, you can fill the placeholder with details such as a name or reference number. You can do this manually or upload a list of personal details and let <i>Notify</i> do it for you."
"Bulk sending",""
"To send a batch of messages at once, upload a list of contact details to Notification. You can also schedule the date and time for sending emails or text messages.",""
"Application Programming Interface (API) integration",""
"You can integrate Notification’s API with your web application or back-office system to send messages automatically.","You can integrate <i>Notify</i>’s API with your web application or back-office system to send messages automatically."
"Read our",""
"API documentation",""
"for more information.",""
"Notification’s real-time dashboard lets you see the number of messages sent. You can also check the current status of any message to learn when it was delivered.","<i>Notify</i>’s real-time dashboard lets you see the number of messages sent. You can also check the current status of any message to learn when it was delivered."
"Read more about how",""
"message status",""
"works.",""
"Permissions",""
"Control which members of your team can see, create, edit and send messages.",""
"Notification lets you:","<i>Notify</i> lets you:"
"set different permission levels for each team member",""
"invite team members who don’t have a government email address",""
"choose who else can manage team members",""
"Notification protects and manages data to meet the needs of government services.","<i>Notify</i> protects and manages data to meet the needs of government services."
"Hide sensitive information",""
"Notification lets you redact personal information from your messages after they’ve been sent. Only the recipient can see their personal information.","<i>Notify</i> lets you redact personal information from your messages after they’ve been sent. Only the recipient can see their personal information."
"Notification uses two-factor authentication (2FA) to keep your account secure. When you sign in, we'll send a unique one-time code to your phone and ask you to enter it before we let you use your account.","<i>Notify</i> uses two-factor authentication (2FA) to keep your account secure. When you sign in, we'll send a unique one-time code to your phone and ask you to enter it before we let you use your account."
"Read more about",""
"security",""
"Create a new password",""
"Forgot your password?",""
"We’ll send you an email to create a new password.",""
"Send email",""
"Add number",""
"Invite a team member",""
"Send invitation email",""
"invitation expired","Your invitation to Notify has expired. Please ask the person who invited you to send you another invitation."
"bad invitation link","Something’s wrong with this link. Make sure you’ve copied the whole thing."
"You’re logged in as %(email)s. This invite is for another email address. <a href=%(href)s>Sign out</a> and click the link again to accept this invite.",""
"Login history",""
"Our records show that these are the last 3 times you logged into this account:",""
"If this is not correct,","If this is not correct, "
"contact us right away",""
"Invite someone to join your team",""
"invited",""
"cancelled invite",""
"you",""
"Cannot see any folders",""
"Can see all folders",""
"Signs in with a Fido2 key",""
"Signs in with a text message code",""
"Signs in with an email link",""
"Cancel invitation",""
"Change details",""
"Notification’s real-time dashboard lets you check when your message was delivered. You can also check the status of your messages","<i>Notify</i>’s real-time dashboard lets you check when your message was delivered. You can also check the status of your messages"
"For",""
"this information is only available for 7 days after a message has been sent. You can download a report, including a list of sent messages, for your own records.",""
"A picture of the sending flow of messages in Notification, showing the three states of Sending, Delivered and Failed. Also shows the next steps when messages fail, deleting data and trying a new method for permanent failures, and trying again or trying a new method for temporary failures","A picture of the sending flow of messages in <i>Notify</i>, showing the three states of Sending, Delivered and Failed. Also shows the next steps when messages fail, deleting data and trying a new method for permanent failures, and trying again or trying a new method for temporary failures"
"Types of message status",""
"Notification has the following types of message status (API message status may be different and is found in","<i>Notify</i> has the following types of message status (API message status may be different and is found in"
"technical documentation",""
"Emails",""
"Message statuses – emails",""
"Notification has sent the message to the email provider.","<i>Notify</i> has sent the message to the email provider."
"The message was successfully delivered. Notification will not tell you if a user has opened or read a message.","The message was successfully delivered. <i>Notify</i> will not tell you if a user has opened or read a message."
"Email address does not exist",""
"The provider could not deliver the message because the email address was wrong. You should remove these email addresses from your database.",""
"The provider could not deliver the message after trying for 72 hours. This can happen when the recipient’s inbox is full. You can try to send the message again.",""
"There was a connection problem between Notification and the email provider. You’ll have to try sending your messages again.","There was a connection problem between <i>Notify</i> and the email provider. You’ll have to try sending your messages again."
"Text messages",""
"Message statuses – text messages",""
"Notification has sent the message to the cellular provider.","<i>Notify</i> has sent the message to the cellular provider."
"Sent internationally",""
"The message was sent to an international number. The mobile networks in some countries do not provide any more delivery information.",""
"Phone number does not exist",""
"The provider could not deliver the message because the phone number was wrong. You should remove these phone numbers from your database. You’ll still be charged for text messages to numbers that do not exist.",""
"The provider could not deliver the message after trying for 72 hours. This can happen when the recipient’s phone is off. You can try to send the message again. You’ll still be charged for text messages to phones that are not accepting messages.",""
"There was a connection problem between Notification and the cellular provider. You’ll have to try sending your messages again. You will not be charged for text messages that are affected by a technical failure.","There was a connection problem between <i>Notify</i> and the cellular provider. You’ll have to try sending your messages again. You will not becharged for text messages that are affected by a technical failure."
"You can now create a new password for your account.",""
"At least 8 characters",""
"Message about email address does not exist. Some one needs to figure out the words here.",""
"Search",""
"Data available for",""
"days",""
"Click the link in the email to reset your password.",""
"Privacy notice: how we use your data",""
"GOV.UK developed the",""
"original notification system",""
"and its UK",""
"privacy protections",""
"The Notification team is reviewing privacy requirements under the","The <i>Notify</i> team is reviewing privacy requirements under the"
"https://laws-lois.justice.gc.ca/eng/acts/P-21/index.html",""
"Privacy Act",""
"If your service has specific privacy needs, ",""
"please let us know",""
"Your account will be created with this email address:",""
"We’ll send you a security code by text message",""
"Your account will be created with this email:",""
"Must be a federal government email address",""
"You're creating an account for GC Notify, so you can choose to stop using it at any time for any reason.","You're creating an account for <i>Notify</i>, so you can choose to stop using it at any time for any reason"
"We (the Canadian Digital Service) will make sure your data and and correspondence are confidential, which means they will not be linked back to anyone.","We (the Canadian Digital Service) will make sure your data and correspondence are confidential, which means they will not be linked back to anyone"
"Your participation will not impact your relationship with the Canadian Digital Service or any part of the Government of Canada.",""
"Please read our <a href='https://digital.canada.ca/legal/privacy'>Privacy Statement</a>. We handle all personal information in accordance with the Privacy Act.",""
"Click the link in the email to continue your registration.",""
"A new confirmation email has been sent to",""
"Roadmap",""
"Coming Soon",""
"Optional",""
"Upload a list of",""
"Upload a list of {}",""
"Choose a file",""
"Your file needs to look like this example",""
"Save your file as a",""
"Comma Separated Values",""
"Tab Separated Values",""
"Open Document
  Spreadsheet",""
"CSV",""
"TSV",""
"ODS",""
"or Microsoft Excel
  spreadsheet",""
"Example",""
"Download this example",""
"Your file will populate this template",""
"General",""
"Label",""
"Value",""
"Action",""
"Sign-in method",""
"Email link or text message code",""
"Contact details",""
"Email settings",""
"Send emails",""
"Reply-to email addresses",""
"Not set",""
"Manage",""
"Email branding",""
"Your branding<br> ({})",""
"Text message settings",""
"Send text messages",""
"Text message senders",""
"Start text messages with service name",""
"Send international text messages",""
"Receive text messages",""
"Your service is in trial mode",""
"you can only send messages to yourself",""
"you can add people to your team, then you can send messages to them too",""
"you can only send",""
"To remove these restrictions, you can",""
"Your service manager can ask to have these restrictions removed.",""
"Your service is live",""
"You can send up to",""
"messages
        per day.",""
"Problems or comments?",""
"Platform admin settings",""
"Live",""
"No (organisation must be set first)",""
"Count in list of live services",""
"Organisation",""
"Free text message allowance",""
"Letter branding",""
"Data retention",""
"{}",""
"Delete this service",""
"Suspend service",""
"Service suspended",""
"Resume service",""
"Notify lets you send emails and text messages to your users",""
"e-notify, e notify, Enotify, gc notify, notify, canada notify, canada email, email notifications, Government of Canada, federal government, Canada SMS,
Canada Notification service",""
"GC Notify | GC notification","Notify | Notification"
"Notify",""
"Send service updates by email and text message",""
"Try out <i>Notify</i>, a new messaging platform for the Government of Canada.",""
"A platform built for government",""
"Send emails or text messages to keep the public informed and
            make your services more transparent.",""
"Use templates for easy,
            consistent, and accessible communications.",""
"Learn more about <i>Notify</i>",""
"<i>Notify</i> is built for you",""
"Staff who regularly write and send service updates wishing
              to upgrade the tools used to communicate with the public",""
"Developers working on improving workflow and tooling for
              public servants",""
"Administrators who have to meet departmental service
              standards for communication",""
"What you can do with <i>Notify</i>",""
"Upload mailing lists and send personalized messages in bulk",""
"Create templates and save them for future messages",""
"Track the status of the messages you send",""
"See how <i>Notify</i> can improve your workflow",""
"Integrate <i>Notify</i> into your system",""
"You can integrate <i>Notify</i> with your current system to take
              advantage of its secure, cloud-based messaging tools.",""
"<i>Notify</i> supports roles and permissions, so that you can
              adjust which staff have access to send or edit messages.",""
"Learn how to integrate <i>Notify</i>",""
"<i>Notify</i> is free for Government of Canada services",""
"Use <i>Notify</i> for free and replace paper letters or costly
              third-party messaging services.",""
"Send unlimited emails, completely free.",""
"<i>Notify</i> is a service managed by the Canadian Digital
                Service — no external procurement.",""
"Learn more about pricing",""
"Notify by the numbers",""
"Since November 2019",""
"services using Notify",""
"email notifications sent","notifications sent"
"Try <i>Notify</i> now",""
"Create an account and start sending test messages right
              away!",""
"Your
        phone",""
"Request type",""
"You need to sign in again",""
"We signed you out because you logged in to Notify on another device.",""
"We signed you out because you haven’t used Notify for a while.",""
"If you do not have an account, you can",""
"create one now",""
"These terms apply to use of Notification. Your account manager must accept them.","These terms apply to use of <i>Notify</i>. Your account manager must accept them."
"When using Notification","When using <i>Notify</i>"
"Follow Canadian law with regard to the privacy act when using this software.",""
"You must:",""
"complete all security steps required by your organization.",""
"tell us immediately if you have any security breaches.",""
"keep your API (Application Programming Interface) codes secure. API technology allows different software applications to communicate with each other.",""
"get consent to send messages and to use data. This consent must meet standards set by privacy legislation including the federal Privacy Act.",""
"check that the data you add to Notification is accurate and complies with privacy legislation including the federal Privacy Act.","check that the data you add to <i>Notify</i> is accurate and complies with privacy legislation including the federal Privacy Act."
"not send messages containing any personally or commercially sensitive information.",""
"not send unsolicited messages. Messages must be about transactions or subscriptions. Please follow the <a href=""https://www.gov.uk/service-manual/design/sending-emails-and-text-messages#transactional-messages"">transaction</a> and <a href=""https://www.gov.uk/service-manual/design/sending-emails-and-text-messages#subscription-messages"">subscription</a> criteria in the GOV.UK Service Manual. Please remember that other parts of the GOV.UK Manual may not apply in the Canadian context.",""
"If you don’t follow these terms, we may need to stop sending your messages.",""
"Notification will:","<i>Notify</i> will:"
"send the messages you write, as long as these messages comply with our terms of use.",""
"show how Notification is working through our <a href=""https://www.gov.uk/performance/govuk-notify"">performance</a> and <a href=""https://status.notifications.service.gov.uk/"">status</a> pages.","show how <i>Notify</i> is working through our <a href=""https://www.gov.uk/performance/govuk-notify"">performance</a> and <a href=""https://status.notifications.service.gov.uk/"">status</a> pages."
"keep your data <a href=""/features/security"">secure</a>.",""
"give you one month’s notice by email if we change our terms of use or delivery providers.",""
"Leaving Notification","Leaving <i>Notify</i>"
"You can leave Notification at any time. Just","You can leave <i>Notify</i> at any time. Just"
"and we’ll close your account.",""
"We’ll delete all your data when we close your account.",""
"Check your mobile number",""
"Check your mobile phone number is correct and then resend the security code.",""
"Mobile phone number",""
"Resend security code",""
"Trial mode",""
"When you set up a new service it will start in trial mode. This lets you try out Notification, with a few restrictions.","When you set up a new service it will start in trial mode. This lets you try out <i>Notify</i>, with a few restrictions."
"A service in trial mode can only:",""
"send 50 text messages and emails per day",""
"send messages to you and other people in your team",""
"create letter templates, but not send them",""
"send us a request to go live.",""
"Before you can request to go live, you must:",""
"sign our data sharing and financial agreement",""
"accept our terms of use",""
"set up your service so you’re ready to send and receive messages",""
"When we receive your request we’ll get back to you within one working day.",""
"We’ve emailed you a link to sign in to Notification.","We’ve emailed you a link to sign in to <i>Notify</i>."
"Use the link to open Notification in a new browser window.","Use the link to open <i>Notify</i> in a new browser window."
"Not received an email",""
"We have found a Fido2 key associated with your account.",""
"Follow the browser window instructions to authenticate.",""
"Text verification",""
"Check your phone",""
"Not received a text message?",""
"We’ve sent you a text message with a security code.",""
"Your profile",""
"Last changed ",""
"Security Key(s)",""
"Use platform admin view",""
"Resend verification code",""
"Text messages sometimes take a few minutes to arrive. If you do not receive the text message, you can resend it.",""
"If you no longer have access to the phone with the number you registered for this service, speak to your service manager to reset the number.",""
"Confirm your mobile number",""
"We’ve sent you a security code by text message.",""
"Enter security code",""
"I haven’t received a text",""
"No messages found &thinsp;(messages are kept for {} days)",""
"Before you can go live on Notification, your organisation needs to accept to our data sharing and financial agreement.","Before you can go live on <i>Notify</i>, your organisation needs to accept to our data sharing and financial agreement."
"There are different agreements for crown and non-crown organisations.",""
"Get in touch",""
"to tell us whether or not you work for a crown organisation. If you’re not sure
  we’ll help you work it out.",""
"Your organisation",""
"has already accepted the Notification data sharing and financial agreement. You can","has already accepted the <i>Notify</i> data sharing and financial agreement. You can"
"download a copy",""
"The agreement contains commercially sensitive information, so don’t share it more widely than you need to.",""
"To use Notification your organisation",""
"must accept the Notification data sharing and financial agreement.","must accept the <i>Notify</i> data sharing and financial agreement."
"This agreement only needs to be accepted once and will then cover all Notification services from","This agreement only needs to be accepted once and will then cover all <i>Notify</i> services from"
"It needs to be accepted by, or on behalf of someone who can sign contracts for your organisation.",""
"Download a copy of the agreement",""
"Accept the data sharing and financial agreement",""
"The version number is on the front page, for example ‘3.6’",""
"Notification data sharing and financial agreement","<i>Notify</i> data sharing and financial agreement"
"I confirm that I have the legal authority to accept the Notification data sharing and financial agreement","I confirm that I have the legal authority to accept the <i>Notify</i> data sharing and financial agreement"
"on behalf of",""
"and that",""
"will be bound by it.",""
"Download the Notification data sharing and financial agreement","Download the <i>Notify</i> data sharing and financial agreement"
"Download the agreement",""
"for",""
"Before you can go live on Notification, your organisation needs to
      accept to our data sharing and financial agreement.","Before you can go live on <i>Notify</i>, your organisation needs to
 accept to our data sharing and financial agreement."
"to tell us
      whether or not you work for a crown organisation. If you’re not sure we’ll help you work it out.",""
"The agreement is confidential and should not be shared outside your organisation.",""
"This must be done by, or on behalf of, someone with the authority to sign contracts for",""
"Once accepted, the agreement covers all Notify services from","Once accepted, the agreement covers all <i>Notify</i> services from"
"Download a copy of the data sharing and financial agreement",""
"Callbacks",""
"API integration for developers",""
"API keys",""
"Safelist",""
"Message log",""
"Refresh",""
"When you send messages via the API they’ll appear here.",""
"Notification deletes messages after 7 days.","<i>Notify</i> deletes messages after 7 days."
"View",""
"Only showing the first 50 messages.",""
"You haven’t created any API keys yet",""
"total sends",""
"sms",""
"Key Type:",""
"Created:",""
"Last used",""
"Revoked",""
"Revoke",""
"Create an API key",""
"There was a problem with your safelist",""
"Fix these errors:",""
"Enter valid email addresses",""
"Enter valid phone numbers",""
"You and members of",""
"your team",""
"are included in the safelist automatically.",""
"Callbacks for delivery receipts",""
"When you send an email or text message, we can tell you if Notification was able to deliver it. Check the","When you send an email or text message, we can tell you if <i>Notify</i> was able to deliver it. Check the"
"callback documentation",""
"Must start with https://",""
"At least 10 characters",""
"Callbacks for received text messages",""
"When you receive a text message in Notification, we can forward it to your system. Check the","When you receive a text message in <i>Notify</i>, we can forward it to your system. Check the"
"Name for this key",""
"New API key",""
"Copy your key to somewhere safe.",""
"You won’t be able to see it again once you leave this page.",""
"Back to API keys",""
"a column called",""
"columns called",""
"Skip to file contents",""
"Error",""
"Your file has too many rows",""
"Notification can process up to","<i>Notify</i> can process up to"
"rows at once. Your
          file has",""
"rows.",""
"Your file is missing some rows",""
"It needs at least one row of data, and",""
"It needs at least one row of data.",""
"Your file needs",""
"Right now it has",""
"Your file has more than one column called",""
"Delete or rename one of these columns and try again.",""
"and",""
"The columns in your file need to match the double brackets in
          your template",""
"Your file is missing",""
"Re-upload your file",""
"Back to top",""
"Only showing the first",""
"rows",""
"rows with errors",""
"Only showing rows with errors",""
"Preview of",""
"Recipients",""
"Schedule notifications",""
"When would you like to send",""
"Later",""
"Download as a PDF",""
"There is a problem with",""
"You need to",""
"There are some problems with",""
"You need to:",""
"Send a text message to this phone number",""
"sent",""
"sent-dashboard-single","sent"
"sent-dashboard-plural","sent"
"Templates used",""
"No messages sent",""
"Messages sent",""
